TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
1.00,5564.00,0.00,0.00,0.00,4.00,2.00,3.00,118.00,11.00,0.00,1.00,1.00,2.00,"$1,087","$1,091",4.00,1.00,1.00,2.00,2.00,100.00%,50.00%,0.00,1.00,1.00,33.00%,1.00,1.00,50.00%
1.00,5641.00,0.00,0.00,0.00,10.00,1.00,3.00,87.00,3.00,1.00,2.00,4.00,11.00,"$16,223","$19,849",13.00,0.00,0.00,4.00,7.00,82.00%,60.00%,2.00,0.00,1.00,73.00%,0.00,1.00,36.00%
1.00,5759.00,4.00,1.00,1.00,2.00,0.00,5.00,201.00,22.00,0.00,0.00,1.00,1.00,$0,$0,2.00,1.00,0.00,0.00,0.00,0.00%,33.00%,0.00,0.00,2.00,33.00%,1.00,0.00,100.00%
1.00,5881.00,3.00,1.00,0.00,4.00,1.00,3.00,234.00,30.00,0.00,0.00,0.00,5.00,"$11,288","$21,709",6.00,3.00,2.00,3.00,4.00,52.00%,18.00%,2.00,4.00,5.00,45.00%,5.00,5.00,0.00%
1.00,6359.00,5.00,5.00,0.00,0.00,8.00,0.00,118.00,4.00,0.00,6.00,7.00,8.00,"$17,200","$23,793",11.00,3.00,1.00,5.00,6.00,72.00%,69.00%,0.00,2.00,4.00,50.00%,4.00,2.00,88.00%
1.00,6574.00,0.00,0.00,0.00,1.00,1.00,0.00,74.00,35.00,0.00,0.00,0.00,4.00,"$4,963","$12,283",4.00,3.00,2.00,2.00,2.00,40.00%,14.00%,2.00,4.00,7.00,57.00%,4.00,5.00,0.00%
1.00,7140.00,3.00,2.00,0.00,0.00,11.00,0.00,90.00,9.00,0.00,1.00,3.00,3.00,"$4,722","$5,462",8.00,2.00,1.00,2.00,2.00,86.00%,17.00%,2.00,2.00,4.00,25.00%,3.00,3.00,100.00%
1.00,7163.00,4.00,2.00,1.00,3.00,3.00,2.00,221.00,3.00,1.00,1.00,1.00,3.00,"$6,918","$10,212",9.00,5.00,2.00,1.00,2.00,68.00%,33.00%,0.00,2.00,5.00,20.00%,3.00,2.00,33.00%
1.00,7226.00,1.00,1.00,0.00,2.00,1.00,4.00,206.00,21.00,0.00,0.00,1.00,1.00,$0,$0,7.00,1.00,0.00,,,0.00%,25.00%,0.00,0.00,3.00,13.00%,1.00,0.00,100.00%
1.00,7251.00,1.00,1.00,0.00,4.00,1.00,5.00,152.00,11.00,0.00,1.00,1.00,3.00,"$9,584","$10,778",2.00,2.00,0.00,2.00,2.00,89.00%,25.00%,2.00,1.00,2.00,75.00%,1.00,2.00,33.00%
1.00,7427.00,0.00,0.00,0.00,1.00,6.00,4.00,102.00,25.00,0.00,0.00,0.00,14.00,"$34,506","$37,617",17.00,3.00,2.00,9.00,11.00,92.00%,43.00%,3.00,4.00,4.00,61.00%,4.00,4.00,0.00%
1.00,7664.00,0.00,0.00,0.00,3.00,0.00,1.00,90.00,16.00,0.00,0.00,2.00,3.00,"$1,457","$1,501",3.00,2.00,0.00,1.00,3.00,97.00%,43.00%,0.00,0.00,2.00,43.00%,0.00,0.00,67.00%
1.00,7669.00,0.00,0.00,0.00,5.00,1.00,3.00,216.00,8.00,0.00,2.00,2.00,19.00,"$72,107","$82,531",30.00,0.00,0.00,11.00,12.00,87.00%,73.00%,0.00,0.00,0.00,63.00%,0.00,0.00,11.00%
1.00,7968.00,2.00,1.00,1.00,0.00,8.00,2.00,156.00,6.00,0.00,1.00,1.00,3.00,$176,$176,2.00,2.00,1.00,2.00,2.00,100.00%,0.00%,3.00,1.00,3.00,43.00%,2.00,1.00,33.00%
1.00,8250.00,0.00,0.00,0.00,1.00,3.00,6.00,165.00,27.00,0.00,0.00,0.00,8.00,"$22,310","$27,277",2.00,10.00,8.00,4.00,5.00,82.00%,7.00%,2.00,9.00,11.00,57.00%,9.00,10.00,0.00%
1.00,8256.00,1.00,1.00,0.00,2.00,1.00,1.00,138.00,6.00,0.00,1.00,5.00,10.00,"$16,770","$17,258",18.00,0.00,0.00,7.00,8.00,97.00%,39.00%,3.00,0.00,2.00,56.00%,1.00,1.00,50.00%
1.00,8848.00,8.00,5.00,1.00,4.00,2.00,7.00,139.00,7.00,0.00,2.00,3.00,5.00,"$1,181","$1,138",0.00,11.00,5.00,3.00,3.00,104.00%,0.00%,2.00,5.00,11.00,36.00%,10.00,6.00,60.00%
1.00,8964.00,0.00,0.00,0.00,7.00,0.00,9.00,51.00,2.00,3.00,6.00,10.00,12.00,"$29,292","$46,703",14.00,1.00,1.00,6.00,9.00,63.00%,65.00%,1.00,1.00,1.00,71.00%,1.00,1.00,83.00%
1.00,9273.00,2.00,2.00,0.00,0.00,17.00,0.00,414.00,46.00,0.00,0.00,0.00,1.00,"$3,548","$3,000",10.00,1.00,0.00,1.00,1.00,118.00%,9.00%,0.00,1.00,3.00,9.00%,2.00,1.00,0.00%
1.00,9299.00,1.00,1.00,0.00,7.00,0.00,2.00,105.00,27.00,0.00,0.00,0.00,3.00,"$22,537","$35,577",10.00,2.00,1.00,1.00,2.00,63.00%,46.00%,0.00,1.00,4.00,23.00%,2.00,1.00,0.00%
1.00,9307.00,1.00,1.00,0.00,2.00,2.00,3.00,126.00,1.00,2.00,3.00,9.00,6.00,"$27,313","$29,786",10.00,0.00,0.00,4.00,4.00,92.00%,29.00%,3.00,0.00,1.00,35.00%,0.00,1.00,150.00%
1.00,9508.00,1.00,0.00,1.00,5.00,1.00,13.00,236.00,9.00,0.00,3.00,8.00,12.00,"$45,337","$62,466",22.00,16.00,2.00,4.00,5.00,73.00%,36.00%,0.00,2.00,16.00,31.00%,2.00,2.00,67.00%
1.00,9572.00,0.00,0.00,0.00,0.00,,0.00,96.00,3.00,1.00,1.00,1.00,4.00,"$20,068","$27,461",17.00,1.00,0.00,2.00,2.00,73.00%,32.00%,0.00,1.00,1.00,21.00%,1.00,1.00,25.00%
1.00,9977.00,1.00,1.00,0.00,1.00,1.00,2.00,54.00,2.00,1.00,2.00,2.00,4.00,"$9,251","$9,668",1.00,3.00,1.00,4.00,4.00,96.00%,0.00%,0.00,3.00,3.00,80.00%,3.00,3.00,50.00%
1.00,10444.00,0.00,0.00,0.00,13.00,2.00,21.00,71.00,3.00,1.00,8.00,15.00,16.00,"$44,095","$50,191",36.00,3.00,0.00,12.00,14.00,88.00%,53.00%,3.00,1.00,4.00,37.00%,1.00,4.00,94.00%
1.00,10540.00,0.00,0.00,0.00,3.00,4.00,2.00,118.00,6.00,0.00,5.00,8.00,5.00,"$5,576","$11,473",10.00,0.00,0.00,3.00,3.00,49.00%,53.00%,2.00,0.00,1.00,33.00%,0.00,1.00,160.00%
1.00,10632.00,0.00,0.00,0.00,0.00,8.00,0.00,107.00,5.00,0.00,2.00,4.00,4.00,"$12,546","$24,224",7.00,0.00,0.00,2.00,2.00,52.00%,18.00%,3.00,0.00,2.00,36.00%,0.00,2.00,100.00%
1.00,10681.00,3.00,3.00,0.00,4.00,1.00,3.00,142.00,11.00,0.00,1.00,1.00,5.00,"$28,966","$42,212",7.00,9.00,7.00,2.00,3.00,69.00%,19.00%,0.00,7.00,9.00,31.00%,9.00,7.00,20.00%
1.00,10775.00,0.00,0.00,0.00,4.00,0.00,7.00,160.00,3.00,1.00,7.00,12.00,11.00,"$19,163","$22,263",20.00,0.00,0.00,6.00,6.00,86.00%,46.00%,3.00,0.00,4.00,39.00%,0.00,1.00,109.00%
1.00,11105.00,1.00,0.00,0.00,1.00,5.00,0.00,90.00,17.00,0.00,0.00,1.00,2.00,"$5,835","$7,488",2.00,0.00,0.00,1.00,1.00,78.00%,0.00%,0.00,1.00,1.00,100.00%,2.00,1.00,50.00%
1.00,11338.00,2.00,2.00,0.00,0.00,,0.00,117.00,37.00,0.00,0.00,0.00,2.00,$729,"$1,788",4.00,1.00,0.00,0.00,0.00,41.00%,50.00%,0.00,1.00,2.00,33.00%,3.00,1.00,0.00%
1.00,11451.00,0.00,0.00,0.00,1.00,3.00,0.00,161.00,16.00,0.00,0.00,7.00,11.00,"$11,565","$22,899",21.00,2.00,2.00,3.00,6.00,51.00%,42.00%,0.00,2.00,3.00,42.00%,2.00,2.00,64.00%
1.00,11954.00,0.00,0.00,0.00,0.00,,0.00,7.00,7.00,0.00,1.00,1.00,1.00,,,0.00,1.00,0.00,,,,0.00%,2.00,0.00,1.00,100.00%,0.00,1.00,100.00%
1.00,12175.00,2.00,2.00,0.00,2.00,2.00,2.00,102.00,10.00,0.00,1.00,3.00,4.00,"$8,486","$6,876",3.00,7.00,5.00,3.00,3.00,123.00%,20.00%,0.00,5.00,7.00,40.00%,7.00,5.00,75.00%
1.00,12240.00,1.00,1.00,0.00,16.00,1.00,15.00,246.00,16.00,0.00,0.00,4.00,12.00,"$49,275","$61,570",16.00,1.00,0.00,5.00,7.00,80.00%,67.00%,0.00,2.00,2.00,67.00%,2.00,2.00,33.00%
1.00,12558.00,8.00,8.00,0.00,7.00,3.00,27.00,35.00,4.00,0.00,6.00,14.00,4.00,"$15,358","$15,641",12.00,1.00,1.00,3.00,3.00,98.00%,71.00%,0.00,1.00,1.00,24.00%,5.00,1.00,350.00%
1.00,12787.00,1.00,1.00,0.00,8.00,1.00,6.00,113.00,4.00,0.00,6.00,8.00,8.00,"$61,954","$70,652",15.00,0.00,0.00,8.00,8.00,88.00%,39.00%,3.00,1.00,5.00,44.00%,2.00,2.00,100.00%
1.00,12986.00,0.00,0.00,0.00,0.00,12.00,1.00,181.00,12.00,0.00,1.00,7.00,11.00,"$9,428","$30,070",13.00,0.00,0.00,6.00,7.00,31.00%,79.00%,0.00,0.00,1.00,79.00%,0.00,0.00,64.00%
1.00,13425.00,0.00,0.00,0.00,6.00,1.00,6.00,258.00,6.00,0.00,2.00,5.00,7.00,"$4,937","$12,345",8.00,0.00,0.00,4.00,4.00,40.00%,55.00%,3.00,0.00,0.00,64.00%,0.00,0.00,71.00%
1.00,13753.00,0.00,0.00,0.00,9.00,1.00,30.00,112.00,15.00,0.00,0.00,5.00,8.00,"$10,783","$12,757",16.00,2.00,2.00,5.00,7.00,85.00%,42.00%,0.00,2.00,2.00,33.00%,2.00,2.00,63.00%
1.00,13899.00,8.00,4.00,1.00,0.00,9.00,5.00,126.00,4.00,0.00,2.00,5.00,4.00,"$1,322","$1,406",7.00,4.00,1.00,3.00,3.00,94.00%,42.00%,0.00,1.00,5.00,33.00%,5.00,1.00,125.00%
1.00,13970.00,2.00,2.00,0.00,3.00,1.00,5.00,220.00,14.00,0.00,0.00,4.00,4.00,"$14,451","$19,365",6.00,2.00,2.00,2.00,3.00,75.00%,38.00%,2.00,2.00,4.00,50.00%,3.00,3.00,100.00%
1.00,14072.00,3.00,1.00,1.00,10.00,0.00,18.00,102.00,16.00,0.00,0.00,5.00,6.00,"$42,153","$59,710",8.00,2.00,0.00,1.00,4.00,71.00%,29.00%,3.00,1.00,3.00,43.00%,2.00,2.00,83.00%
1.00,14408.00,0.00,0.00,0.00,5.00,0.00,13.00,119.00,2.00,1.00,8.00,13.00,14.00,"$18,449","$23,295",18.00,2.00,0.00,9.00,12.00,79.00%,65.00%,0.00,1.00,3.00,61.00%,1.00,1.00,93.00%
1.00,14449.00,0.00,0.00,0.00,0.00,7.00,0.00,61.00,29.00,0.00,0.00,0.00,2.00,"$4,254","$3,190",1.00,4.00,2.00,2.00,2.00,133.00%,20.00%,0.00,2.00,3.00,40.00%,2.00,2.00,0.00%
1.00,14591.00,5.00,4.00,1.00,3.00,1.00,4.00,410.00,8.00,0.00,3.00,6.00,3.00,"$3,687","$4,174",9.00,2.00,1.00,3.00,3.00,88.00%,46.00%,0.00,1.00,3.00,23.00%,1.00,1.00,200.00%
1.00,14656.00,5.00,1.00,0.00,5.00,3.00,8.00,168.00,4.00,0.00,5.00,5.00,7.00,"$18,265","$31,927",9.00,7.00,4.00,3.00,3.00,57.00%,28.00%,3.00,5.00,10.00,39.00%,7.00,7.00,71.00%
1.00,15376.00,1.00,0.00,1.00,7.00,1.00,13.00,159.00,4.00,0.00,2.00,2.00,5.00,"$15,607","$16,688",6.00,4.00,3.00,3.00,5.00,94.00%,31.00%,0.00,3.00,6.00,38.00%,3.00,3.00,40.00%
1.00,15377.00,6.00,0.00,1.00,4.00,1.00,5.00,87.00,10.00,0.00,2.00,2.00,1.00,"$2,500","$2,500",1.00,6.00,1.00,1.00,1.00,100.00%,11.00%,0.00,1.00,7.00,11.00%,2.00,1.00,200.00%
1.00,15567.00,0.00,0.00,0.00,3.00,1.00,5.00,145.00,15.00,0.00,0.00,1.00,4.00,"$9,182","$10,248",12.00,0.00,0.00,3.00,4.00,90.00%,33.00%,3.00,0.00,2.00,27.00%,0.00,2.00,25.00%
1.00,16145.00,2.00,2.00,0.00,7.00,1.00,6.00,116.00,25.00,0.00,0.00,0.00,2.00,"$6,447","$15,874",7.00,2.00,1.00,0.00,1.00,41.00%,9.00%,2.00,1.00,3.00,18.00%,2.00,2.00,0.00%
1.00,16361.00,0.00,0.00,0.00,1.00,2.00,3.00,123.00,8.00,0.00,2.00,6.00,10.00,"$24,309","$31,071",15.00,0.00,0.00,6.00,7.00,78.00%,44.00%,3.00,0.00,0.00,63.00%,0.00,0.00,60.00%
1.00,16582.00,2.00,2.00,0.00,8.00,0.00,4.00,132.00,9.00,0.00,1.00,2.00,11.00,"$38,158","$78,090",18.00,3.00,3.00,6.00,6.00,49.00%,38.00%,3.00,4.00,7.00,42.00%,5.00,5.00,18.00%
1.00,16809.00,0.00,0.00,0.00,5.00,2.00,2.00,213.00,3.00,1.00,4.00,6.00,20.00,"$65,957","$77,972",30.00,0.00,0.00,13.00,15.00,85.00%,69.00%,0.00,0.00,0.00,63.00%,0.00,0.00,30.00%
1.00,17485.00,2.00,1.00,0.00,2.00,0.00,5.00,176.00,14.00,0.00,0.00,2.00,2.00,$509,$509,1.00,3.00,1.00,1.00,1.00,100.00%,0.00%,2.00,2.00,4.00,40.00%,2.00,3.00,100.00%
1.00,17510.00,0.00,0.00,0.00,7.00,1.00,14.00,107.00,2.00,1.00,3.00,9.00,15.00,"$36,306","$52,120",29.00,5.00,4.00,6.00,10.00,70.00%,28.00%,3.00,7.00,7.00,38.00%,7.00,7.00,60.00%
1.00,18318.00,12.00,11.00,0.00,6.00,1.00,9.00,112.00,24.00,0.00,0.00,1.00,8.00,"$7,467","$10,160",13.00,12.00,7.00,5.00,6.00,73.00%,12.00%,0.00,9.00,14.00,32.00%,19.00,9.00,13.00%
1.00,18671.00,3.00,2.00,0.00,1.00,0.00,5.00,101.00,6.00,0.00,3.00,7.00,11.00,"$16,618","$18,277",27.00,3.00,1.00,5.00,5.00,91.00%,45.00%,3.00,1.00,5.00,33.00%,1.00,5.00,64.00%
1.00,18822.00,0.00,0.00,0.00,10.00,1.00,12.00,202.00,2.00,1.00,4.00,5.00,7.00,"$3,713","$8,255",13.00,1.00,1.00,3.00,3.00,45.00%,19.00%,3.00,2.00,5.00,44.00%,2.00,3.00,71.00%
1.00,19472.00,6.00,5.00,0.00,11.00,0.00,26.00,174.00,2.00,1.00,4.00,8.00,7.00,"$12,083","$13,360",23.00,4.00,1.00,5.00,5.00,90.00%,21.00%,1.00,2.00,4.00,21.00%,5.00,2.00,114.00%
1.00,19597.00,2.00,1.00,1.00,0.00,20.00,1.00,130.00,93.00,0.00,0.00,0.00,3.00,"$9,246","$9,246",5.00,8.00,1.00,2.00,2.00,100.00%,8.00%,0.00,2.00,9.00,23.00%,3.00,2.00,0.00%
1.00,19662.00,1.00,0.00,1.00,4.00,0.00,2.00,216.00,8.00,0.00,2.00,9.00,12.00,"$32,320","$47,288",21.00,15.00,3.00,6.00,7.00,68.00%,32.00%,0.00,3.00,16.00,29.00%,3.00,3.00,75.00%
1.00,20212.00,1.00,0.00,1.00,5.00,0.00,4.00,125.00,2.00,1.00,2.00,6.00,6.00,"$18,299","$25,671",10.00,0.00,0.00,4.00,5.00,71.00%,45.00%,3.00,0.00,0.00,55.00%,0.00,0.00,100.00%
1.00,20459.00,5.00,1.00,1.00,1.00,1.00,3.00,325.00,9.00,0.00,1.00,2.00,10.00,"$9,970","$10,991",14.00,17.00,2.00,6.00,6.00,91.00%,32.00%,0.00,3.00,17.00,32.00%,3.00,3.00,20.00%
1.00,20665.00,0.00,0.00,0.00,1.00,2.00,1.00,99.00,23.00,0.00,0.00,1.00,5.00,"$5,659","$11,930",7.00,1.00,1.00,1.00,1.00,47.00%,30.00%,0.00,2.00,2.00,50.00%,2.00,2.00,20.00%
1.00,21035.00,1.00,1.00,0.00,2.00,0.00,3.00,275.00,13.00,0.00,0.00,2.00,8.00,"$5,796","$8,541",15.00,9.00,4.00,3.00,4.00,68.00%,36.00%,2.00,4.00,14.00,32.00%,5.00,5.00,25.00%
1.00,21586.00,0.00,0.00,0.00,2.00,1.00,2.00,139.00,10.00,0.00,3.00,8.00,16.00,"$12,204","$14,562",30.00,0.00,0.00,9.00,11.00,84.00%,61.00%,3.00,0.00,3.00,48.00%,0.00,2.00,50.00%
1.00,21847.00,0.00,0.00,1.00,0.00,7.00,5.00,29.00,6.00,0.00,5.00,9.00,11.00,"$40,892","$45,188",14.00,1.00,0.00,9.00,9.00,90.00%,80.00%,1.00,0.00,1.00,73.00%,0.00,0.00,82.00%
1.00,21939.00,0.00,0.00,0.00,9.00,1.00,4.00,108.00,3.00,1.00,1.00,1.00,3.00,"$7,938","$9,706",4.00,2.00,2.00,1.00,1.00,82.00%,14.00%,0.00,2.00,2.00,43.00%,2.00,2.00,33.00%
1.00,21947.00,7.00,6.00,0.00,2.00,0.00,9.00,121.00,8.00,0.00,5.00,9.00,5.00,"$36,973","$40,206",9.00,2.00,2.00,5.00,5.00,92.00%,50.00%,2.00,2.00,3.00,42.00%,5.00,3.00,180.00%
1.00,22221.00,0.00,0.00,0.00,1.00,5.00,1.00,189.00,13.00,0.00,0.00,2.00,10.00,"$1,306","$10,491",20.00,1.00,0.00,2.00,2.00,12.00%,57.00%,2.00,0.00,1.00,48.00%,0.00,1.00,20.00%
1.00,22522.00,8.00,3.00,0.00,3.00,2.00,1.00,240.00,4.00,0.00,2.00,2.00,6.00,"$7,625","$11,553",5.00,4.00,2.00,0.00,2.00,66.00%,27.00%,0.00,5.00,6.00,55.00%,12.00,5.00,33.00%
1.00,23082.00,0.00,0.00,0.00,1.00,2.00,0.00,42.00,5.00,0.00,3.00,3.00,5.00,"$7,341","$8,866",5.00,0.00,0.00,3.00,4.00,83.00%,100.00%,0.00,0.00,0.00,100.00%,0.00,0.00,60.00%
1.00,24690.00,0.00,0.00,0.00,4.00,1.00,0.00,153.00,13.00,0.00,0.00,3.00,12.00,"$47,040","$58,953",22.00,0.00,0.00,4.00,9.00,80.00%,17.00%,3.00,0.00,4.00,50.00%,0.00,3.00,25.00%
1.00,24859.00,4.00,4.00,0.00,5.00,1.00,10.00,221.00,8.00,0.00,1.00,4.00,7.00,"$31,445","$40,749",10.00,0.00,0.00,2.00,4.00,77.00%,42.00%,3.00,0.00,2.00,58.00%,1.00,0.00,57.00%
1.00,25097.00,0.00,0.00,0.00,5.00,0.00,5.00,197.00,5.00,0.00,2.00,4.00,6.00,$882,"$5,289",13.00,3.00,3.00,2.00,2.00,17.00%,44.00%,2.00,4.00,6.00,38.00%,4.00,5.00,67.00%
1.00,25177.00,1.00,0.00,0.00,3.00,0.00,4.00,153.00,4.00,0.00,1.00,4.00,6.00,"$51,251","$62,609",10.00,2.00,1.00,5.00,6.00,82.00%,46.00%,1.00,2.00,4.00,46.00%,3.00,2.00,67.00%
1.00,25504.00,2.00,0.00,0.00,1.00,1.00,9.00,115.00,10.00,0.00,1.00,3.00,3.00,"$8,702","$11,145",5.00,2.00,1.00,2.00,2.00,78.00%,13.00%,1.00,1.00,4.00,38.00%,1.00,1.00,100.00%
1.00,25579.00,4.00,4.00,0.00,3.00,2.00,13.00,150.00,5.00,0.00,2.00,4.00,5.00,"$2,001","$2,543",26.00,2.00,1.00,4.00,4.00,79.00%,10.00%,3.00,1.00,4.00,17.00%,4.00,3.00,80.00%
1.00,25608.00,3.00,2.00,1.00,4.00,1.00,7.00,128.00,17.00,0.00,0.00,1.00,3.00,"$8,286","$11,150",3.00,4.00,1.00,1.00,2.00,74.00%,11.00%,0.00,1.00,4.00,33.00%,3.00,1.00,33.00%
1.00,26587.00,2.00,2.00,0.00,3.00,3.00,10.00,101.00,6.00,0.00,5.00,14.00,5.00,"$44,615","$47,226",20.00,2.00,1.00,5.00,5.00,94.00%,34.00%,2.00,1.00,2.00,17.00%,2.00,2.00,280.00%
1.00,26675.00,0.00,0.00,0.00,4.00,0.00,3.00,127.00,7.00,0.00,4.00,11.00,26.00,"$63,184","$86,143",33.00,0.00,0.00,7.00,11.00,73.00%,36.00%,3.00,0.00,1.00,55.00%,0.00,1.00,42.00%
